id;typ;maszyna;operacja;nazwa_czesci;cecha;zuzycie
98;RS-22311 E/VX5A1;NP-440R;Kucie - Stanowisko  I;Gniazdo;LKm-5/1/3-9;180000
99;RS-22311 E/VX5A1;NP-440R;Kucie - Stanowisko  I;£apki podaj¹ce;LKy-5/1-8;300000
100;RS-22311 E/VX5A1;NP-440R;Kucie - Stanowisko  II;Wypychacz;LKw-5/1-5;1000000
101;RS-22311 E/VX5A1;NP-440R;Kucie - Stanowisko  II;Stempel;LKs-5/2-9;50000
102;RS-22311 E/VX5A1;NP-440R;Kucie - Stanowisko  II;Wklad.matr.(walc.bar);LKm-5/2/1-9;200000
103;RS-22311 E/VX5A1;NP-440R;Kucie - Stanowisko  II;Gniazdo;LKm-5/2/2-9B;300000
104;RS-22311 E/VX5A1;NP-440R;Kucie - Stanowisko  II;£apki;LKy-5/2-8;600000
105;RS-22311 E/VX5A1;NP-440R;Kucie - Stanowisko  III;Wk³adka matrycy;LKm-5/3/1-34;200000
106;RS-22311 E/VX5A1;NP-440R;Kucie - Stanowisko  III;Wypychacz;LKw-5/1-5;1000000
107;RS-22311 E/VX5A1;NP-440R;Kucie - Stanowisko  III;Gniazdo (bary³ki);LKm-5/3/2-22;200000
108;RS-22311 E/VX5A1;NP-440R;Kucie - Stanowisko  III;£apki;LKy-5/3-8;600000
109;RS-22311 E/VX5A1;NP-440R;Kucie - Stanowisko  III;Stempel;LKs-5/3-35;30000
110;RS-22311 E/VX5A1;NP-440R;Kucie - Stanowisko IV (matrycowe);Wk³adka matr.(bary³ki);LKm-5/4/2-26;45000
111;RS-22311 E/VX5A1;NP-440R;Kucie - Stanowisko IV (matrycowe);Wypychacz;LKw-5/4/1-17;500000
112;RS-22311 E/VX5A1;NP-440R;Kucie - Stanowisko IV (matrycowe);G³ówka wypychacza;LKw-5/4/2-6;500000
113;RS-22311 E/VX5A1;NP-440R;Kucie - Stanowisko IV (matrycowe);£apki;LKy-5/4-9;300000
114;RS-22311 E/VX5A1;NP-440R;Kucie - Stanowisko V (stemplowe);Wk³adka stem.(bary³ki);LKs-5/5/5-21;60000
115;RS-22311 E/VX5A1;NP-440R;Kucie - Stanowisko V (stemplowe);Wypychacz;LKw-5/5/1-12;50000
116;RS-22312 E/VX5A1;NP-440R;Kucie - Ciêcie  i  podawanie  materia³u;NóŸ ucinaj¹cy;LKn-5a_5-36;500000
117;RS-22312 E/VX5A1;NP-440R;Kucie - Ciêcie  i  podawanie  materia³u;Tulejka tn¹ca;LKt-5a-25;500000
118;RS-22312 E/VX5A1;NP-440R;Kucie - Stanowisko  I;Wypychacz;LKw-5-1-5;1000000
119;RS-22312 E/VX5A1;NP-440R;Kucie - Stanowisko  I;Wkladka matrycy;LKm-5-1-2-41;300000
120;RS-22312 E/VX5A1;NP-440R;Kucie - Stanowisko  I;Stempel;LKs-5-1-33C;240000
121;RS-22312 E/VX5A1;NP-440R;Kucie - Stanowisko  I;Gniazdo;LKm-5-1-3-35;300000
122;RS-22312 E/VX5A1;NP-440R;Kucie - Stanowisko  I;£apki podaj¹ce;LKy-5-1-29;300000
123;RS-22312 E/VX5A1;NP-440R;Kucie - Stanowisko  II;Wypychacz;LKw-5-1-5;1000000
124;RS-22312 E/VX5A1;NP-440R;Kucie - Stanowisko  II;Stempel;LKs-5-2-32;130000
125;RS-22312 E/VX5A1;NP-440R;Kucie - Stanowisko  II;Wklad.matr.(walc.bar);LKm-5-2-1-38;200000
126;RS-22312 E/VX5A1;NP-440R;Kucie - Stanowisko  II;Gniazdo;LKm-5-2-2-35B;500000
